Task_ID,Component,Task,Task_Group,Required_Parts,Preparation_Checklist,Safety_Protocol,Safety_Fall_Risk,Safety_TnM_Presence,Procedure_Steps,Procedure_Photos,Draw_Stop_Plan,Est_Stop_Min,Completion_Criteria,Last_Updated,Updated_By,Supplier_Name,Supplier_Details,Sanity_Checklist,Sanity_Results,Required_Tools
FUR-MNT-007,63mm Furnace System,Every 3 months OR 1500 operating hours: check pyrometer alignment & window cleanliness,3-Month,Pyrometer window / cleaning kit; IPA wipes / cleaning cloth,Confirm required parts availability (stock not mounted).,"1) PPE minimum: safety glasses, work gloves, and closed shoes.
2) Confirm area is clear, stable, and communication with operator is active.
3) Heat hazard: verify cool-down or use heat-rated gloves/tools before touch.
4) Restart control: one assigned person approves restart after verification.",No,Standard access,Inspect pyrometer alignment and check window cleanliness; clean window if required.,,"Pause draw, isolate subsystem, perform checks, resume after verification.",60.0,"Task completed, system verified, safe restart confirmed.",2026-03-10 16:02:24,,,,,,
FUR-MNT-004,63mm Furnace System,"After every run: clean furnace entry disc (remove soot, wipe with IPA)",Per-Draw/Startup,IPA wipes; cleaning cloth,,Entry disc can be hot after a run; use heatproof gloves and allow cool-down.,Medium,Allowed,,,,10,,2026-04-23 10:10:54,rebuild,,,,,
FUR-MNT-002,63mm Furnace System,Before operation: check top sleeve + water-cooled top ring for soot; clean if needed,Per-Draw/Startup,Top sleeve; IPA wipes / cleaning cloth,,,,,"[{""id"": ""step-photo-check-1"", ""done"": false, ""text"": ""Check top sleeve + water-cooled top ring for soot; clean if needed.""}]","[{""path"": ""/uploads/maintenance_packages/63mm-furnace-system/fur-mnt-002/SC.png"", ""name"": ""SC.png"", ""step_key"": ""step:step-photo-check-1"", ""step_label"": ""Check top sleeve + water-cooled top ring for soot; clean if needed.""}]",,20,,2026-05-03 19:47:10,codex,,,,,
G-MNT-001,General,Weekly full flow 20260517104033,Weekly,FLOWP4033 Grease; FLOWP4033 Wipe,Check area;Confirm tools,Safe,Low,Allowed,Do task;Verify output,"[{""path"": ""/uploads/maintenance_packages/general/g-mnt-001/SC.png"", ""name"": ""SC.png"", ""step_key"": """", ""step_label"": ""Do task;Verify output""}]",Stop draw if needed,15,Task complete,2026-05-17 10:40:36,rebuild,Internal,N/A,Verify complete,,FLOWP4033 Wrench
FUR-MNT-006,63mm Furnace System,Monthly: inspect bottom doors for distortion/damage; replace if needed,Monthly,Furnace bottom door set,"[{""id"":""prep-bottom-door-1"",""done"":false,""text"":""Confirm furnace bottom door set is at the line and not already mounted.""},{""id"":""prep-bottom-door-2"",""done"":false,""text"":""Lock area access, confirm cool-to-touch condition, and prepare insulated gloves + hand tools.""},{""id"":""prep-bottom-door-3"",""done"":false,""text"":""Stage waste bag, wiping cloth, and camera / note device for before-after condition check.""}]","1) Confirm furnace has cooled enough for safe contact and isolate any hot-touch risk before removal.
2) Use gloves and eye protection while handling warped sheet and fasteners.
3) Keep one operator clear of the draw path while the second verifies door seating and closure.
4) Restart only after the door sits flush, latch points are secure, and no loose fragments remain.",Low,Allowed,"[{""id"":""step-photo-bottom-door-1"",""done"":false,""text"":""Inspect both furnace bottom doors for bowing, cracks, worn edges, and latch damage.""},{""id"":""step-photo-bottom-door-2"",""done"":false,""text"":""Remove the damaged door set, clean the mounting faces, and fit the replacement door set squarely.""},{""id"":""step-photo-bottom-door-3"",""done"":false,""text"":""Close and reopen the doors to verify free movement, flush contact, and correct latch engagement.""}]","[{""path"":""/uploads/maintenance_packages/63mm-furnace-system/fur-mnt-006/SC.png"",""name"":""SC.png"",""step_key"":""step:step-photo-bottom-door-1"",""step_label"":""Inspect both furnace bottom doors for bowing, cracks, worn edges, and latch damage.""},{""path"":""/uploads/maintenance_packages/63mm-furnace-system/fur-mnt-006/SC-2.png"",""name"":""SC-2.png"",""step_key"":""step:step-photo-bottom-door-2"",""step_label"":""Remove the damaged door set, clean the mounting faces, and fit the replacement door set squarely.""}]","Hold the draw in a controlled stop, confirm furnace access is clear, replace the door set, then resume only after seal and latch verification.",45,"Replacement door set installed, both doors move freely, latch points lock cleanly, and the furnace front is left clear of debris or contact risk.",2026-05-18 18:30:00,rebuild,Soreq furnace spares,Bottom door spare kept in furnace cabinet bay B2. Escalation contact: maintenance lead / spare-store desk.,"[{""kind"":""check"",""label"":""Work area cleared and no loose fragments left near the furnace mouth"",""mode"":""check"",""sample"":""Checklist confirmation""},{""kind"":""passfail"",""label"":""Door closes flush with correct latch engagement"",""mode"":""passfail"",""sample"":""Pass / fail check""},{""kind"":""text"",""label"":""Condition note after replacement"",""mode"":""text"",""placeholder"":""Record wear pattern, warp, latch issue, or extra follow-up"",""sample"":""Free operator note""}]",,5 mm Allen key; insulated gloves; flashlight; cleaning cloth
G-MNT-002,General,Weekly full flow 20260528134355,Weekly,FLOWP4355 Grease; FLOWP4355 Wipe,Check area;Confirm tools,Safe,Low,Allowed,Do task;Verify output,"[{""path"": ""[]"", ""temp_id"": """", ""name"": ""[]"", ""step_key"": """", ""step_label"": """"}]",Stop draw if needed,15,Task complete,2026-05-28 13:44:01,rebuild,Internal,N/A,Verify complete,,FLOWP4355 Wrench
G-MNT-003,General,Weekly full flow 20260528141555,Weekly,FLOWP1555 Grease; FLOWP1555 Wipe,Check area;Confirm tools,Safe,Low,Allowed,Do task;Verify output,"[{""path"": ""[]"", ""temp_id"": """", ""name"": ""[]"", ""step_key"": """", ""step_label"": """"}]",Stop draw if needed,15,Task complete,2026-05-28 14:16:01,rebuild,Internal,N/A,Verify complete,,FLOWP1555 Wrench
G-MNT-004,General,Weekly full flow 20260528142423,Weekly,FLOWP2423 Grease; FLOWP2423 Wipe,Check area;Confirm tools,Safe,Low,Allowed,Do task;Verify output,"[{""path"": ""[]"", ""temp_id"": """", ""name"": ""[]"", ""step_key"": """", ""step_label"": """"}]",Stop draw if needed,15,Task complete,2026-05-28 14:24:28,rebuild,Internal,N/A,Verify complete,,FLOWP2423 Wrench
G-MNT-005,General,Weekly full flow 20260528142936,Weekly,FLOWP2936 Grease; FLOWP2936 Wipe,Check area;Confirm tools,Safe,Low,Allowed,Do task;Verify output,"[{""path"": ""[]"", ""temp_id"": """", ""name"": ""[]"", ""step_key"": """", ""step_label"": """"}]",Stop draw if needed,15,Task complete,2026-05-28 14:29:43,rebuild,Internal,N/A,Verify complete,,FLOWP2936 Wrench
FFR-MNT-001,Full Flow Rig,Weekly full flow 20260528144725,Weekly,FLOWP4725 Grease; FLOWP4725 Wipe,Check area;Confirm tools,Safe,Low,Allowed,Do task;Verify output,"[{""path"": ""[]"", ""temp_id"": """", ""name"": ""[]"", ""step_key"": """", ""step_label"": """"}]",Stop draw if needed,15,Task complete,2026-05-28 14:47:31,rebuild,Internal,N/A,Verify complete,,FLOWP4725 Wrench
FFR-MNT-002,Full Flow Rig,Weekly full flow 20260528150023,Weekly,FLOWP0023 Grease; FLOWP0023 Wipe,Check area;Confirm tools,Safe,Low,Allowed,Do task;Verify output,"[{""path"": ""[]"", ""temp_id"": """", ""name"": ""[]"", ""step_key"": """", ""step_label"": """"}]",Stop draw if needed,15,Task complete,2026-05-28 15:00:38,rebuild,Internal,N/A,Verify complete,,FLOWP0023 Wrench
