Project Name,Experiment Title,Date,Researcher,Methods,Purpose,Observations,Results,Is Drawing,Drawing Details,Draw CSV,Result Images,Image Captions,Result Docs,Doc Captions,Attachments,Attachment Captions,Markdown Notes
AL-Ge smh,מאמר רלוונטי לניסוי קרוב,2026-02-06,-,-,-,-,-,False,,,development_media/AL-Ge smh/מאמר רלוונטי לניסוי קרוב__2026-02-06/leb_2_8.png,"{""leb_2_8.png"": ""FOI""}",development_media/AL-Ge smh/מאמר רלוונטי לניסוי קרוב__2026-02-06/פונקציונליות מערכת FOI.docx;development_media/AL-Ge smh/מאמר רלוונטי לניסוי קרוב__2026-02-06/FOI PPT (2026-01-01) (1).pptx;development_media/AL-Ge smh/מאמר רלוונטי לניסוי קרוב__2026-02-06/1-s2.0-S0017931006000342-main.pdf,"{""פונקציונליות מערכת FOI.docx"": ""זהו מאמר על ככה וככה"", ""FOI PPT (2026-01-01) (1).pptx"": ""כדג"", ""1-s2.0-S0017931006000342-main.pdf"": ""מאמר נראה אם נפתח""}",development_media/AL-Ge smh/מאמר רלוונטי לניסוי קרוב__2026-02-06/1-s2.0-S0017931006000342-main__2.pdf;development_media/AL-Ge smh/מאמר רלוונטי לניסוי קרוב__2026-02-06/SC 45.png;development_media/AL-Ge smh/מאמר רלוונטי לניסוי קרוב__2026-02-06/Panoliaskos_paper.ipynb,"{""1-s2.0-S0017931006000342-main__2.pdf"": ""מאמר על זה"", ""SC 45.png"": ""כגג"", ""Panoliaskos_paper.ipynb"": ""Coating paper for thicness""}","### TITLE
המשוואה
 $E=mc^2$ 
לא עובדת צריך לבדוק מי הטמבל שהמציא אותה"
AL-Ge smh,Test app,2026-05-11,Ohad,computer,test the app,lets see,,False,,t_046_CC.csv,,,,,,,
Network Smoke Project,Network Smoke Experiment,2026-05-14,Codex,API workflow,Smoke-test experiment,No issue,Pending,False,,,,,,,,,Smoke markdown
Full Flow Smoke 20260517104033,Full flow experiment,2026-05-17,Codex,Methods,Purpose,Observations,Results,True,Linked to draw flow,FLOWP4033F1.csv,,,,,,,Markdown notes
Network Smoke Project 195738,Network Smoke Experiment,2026-05-14,Codex,API workflow,Smoke-test experiment,No issue,Pending,False,,,,,,,,,Smoke markdown
Network Smoke Project 203603,Network Smoke Experiment,2026-05-14,Codex,API workflow,Smoke-test experiment,No issue,Pending,False,,,,,,,,,Smoke markdown
Network Smoke Project 204843,Network Smoke Experiment,2026-05-14,Codex,API workflow,Smoke-test experiment,No issue,Pending,False,,,,,,,,,Smoke markdown
Full Flow Smoke 20260528141555,Full flow experiment,2026-05-28,Codex,Methods,Purpose,Observations,Results,True,Linked to draw flow,FLOWP1555F1.csv,,,,,,,Markdown notes
Full Flow Smoke 20260528142423,Full flow experiment,2026-05-28,Codex,Methods,Purpose,Observations,Results,True,Linked to draw flow,FLOWP2423F1.csv,,,,,,,Markdown notes
Full Flow Smoke 20260528142936,Full flow experiment,2026-05-28,Codex,Methods,Purpose,Observations,Results,True,Linked to draw flow,FLOWP2936F1.csv,,,,,,,Markdown notes
Full Flow Smoke 20260528144725,Full flow experiment,2026-05-28,Codex,Methods,Purpose,Observations,Results,True,Linked to draw flow,FLOWP4725F1.csv,,,,,,,Markdown notes
Full Flow Smoke 20260528150023,Full flow experiment,2026-05-28,Codex,Methods,Purpose,Observations,Results,True,Linked to draw flow,FLOWP0023F1.csv,,,,,,,Markdown notes
Full Flow Smoke 20260528152016,Full flow experiment,2026-05-28,Codex,Methods,Purpose,Observations,Results,True,Linked to draw flow,FLOWP2016F1.csv,,,,,,,Markdown notes
Full Flow Smoke 20260528153013,Full flow experiment,2026-05-28,Codex,Methods,Purpose,Observations,Results,True,Linked to draw flow,FLOWP3013F1.csv,,,,,,,Markdown notes
Full Flow Smoke 20260528154045,Full flow experiment,2026-05-28,Codex,Methods,Purpose,Observations,Results,True,Linked to draw flow,FLOWP4045F1.csv,,,,,,,Markdown notes
