Component,Task_ID,Task,Timing_For_Do,Task_Group,Tracking_Mode,Planning_Window_Months,Est_Duration_Min,Required_Parts,Manual_Name,Page,Document,Source_File
63mm Furnace System,FUR-MNT-008,Every 3 months OR 1500 operating hours: inspect graphite insulation/radiation shield; replace if needed,3-Month,3-Month,either,3.0,45,Graphite set / insulation parts,63mm Furnace Manual (Soreq),22,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-014,"On-condition: replace heating element when voltage trend increases (e.g., >2 V above new)",3-Month,3-Month,hours,3.0,45,Furnace heating element,63mm Furnace Manual (Soreq),16,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-007,Every 3 months OR 1500 operating hours: check pyrometer alignment & window cleanliness,"3-Month, Hours","3-Month, Hours",hours,3.0,60,Pyrometer window / cleaning kit; IPA wipes / cleaning cloth,63mm Furnace Manual (Soreq),22,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-009,Every 6 months OR 3000 operating hours: check busbar overlap joints tightness,6-Month,6-Month,either,6.0,15,,63mm Furnace Manual (Soreq),22,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-011,Every 6 months OR 3000 operating hours: inspect vacuum pump filter cleanliness,6-Month,6-Month,either,6.0,30,IPA wipes / cleaning cloth,63mm Furnace Manual (Soreq),22,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-010,Every 6 months OR 3000 operating hours: tower alignment check using plumb line,6-Month,6-Month,either,6.0,60,,63mm Furnace Manual (Soreq),22,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-006,Monthly: inspect bottom doors for distortion/damage; replace if needed,Monthly,Monthly,calendar,1.0,45,Furnace bottom door set,63mm Furnace Manual (Soreq),22,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-015,"On-condition: inspect/replace bottom sleeve top cap when eroded (e.g., length reduction >3 mm)",On-Condition,On-Condition,hours,0.0,45,Bottom sleeve top cap,63mm Furnace Manual (Soreq),17,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-004,"After every run: clean furnace entry disc (remove soot, wipe with IPA)",Per-Draw/Startup,Per-Draw/Startup,event,0.0,20,IPA wipes / cleaning cloth,63mm Furnace Manual (Soreq),9,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-002,Before operation: check top sleeve + water-cooled top ring for soot; clean if needed,Per-Draw/Startup,Per-Draw/Startup,event,0.0,20,Top sleeve; IPA wipes / cleaning cloth,63mm Furnace Manual (Soreq),22,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-001,Before operation: inspect graphite set; clean/replace if needed,Per-Draw/Startup,Per-Draw/Startup,event,0.0,45,Graphite set / insulation parts; IPA wipes / cleaning cloth,63mm Furnace Manual (Soreq),22,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-003,Before operation: select correct entry sleeve and clean,Per-Draw/Startup,Per-Draw/Startup,event,0.0,20,Entry sleeve; IPA wipes / cleaning cloth,63mm Furnace Manual (Soreq),22,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-013,"Before use: if storage vacuum rose >0.03 bar since last use, perform cyclic purge",Per-Draw/Startup,Per-Draw/Startup,event,0.0,25,Purge gas / line flush consumables,63mm Furnace Manual (Soreq),14,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-012,Cyclic purge after atmosphere exposure (minimum 5 cycles; end in vacuum),Routine,Routine,event,0.0,25,Purge gas / line flush consumables,63mm Furnace Manual (Soreq),12,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
63mm Furnace System,FUR-MNT-005,Weekly: test water and gas flow interlocks,Weekly,Weekly,calendar,0.25,20,,63mm Furnace Manual (Soreq),22,63mm Furnace Manual_Soreq_rev-22-Jul-20_AD.pdf,Furnace63_Maintenance_Tracker_Template.xlsx
Bare Fibre Diameter Gauge,ALGN-003,Align bare fibre diameter gauge to fibre line using tightened line,Routine,Routine,event,0,60,,Fibre Draw Tower Alignment Manual,9,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
Bottom Centering Pulley + Break Detector,BP-MNT-001,Routine: ensure X/Y slides run free and true,3-Month,3-Month,calendar,0.0,20,,Bottom Centering Pulley with Break Detector (SG Controls),4,Centering Pulley & break detector.pdf,BottomCenteringPulley_BreakDetector_Maintenance_Tracker_Template.xlsx
